step_count,min_error,q1_error,median_error,q3_error,max_error,rmse
329,0.544645,0.578613,0.665493,0.770033,2.845391,0.945036
330,0.514067,0.604626,0.667395,0.754699,2.786559,0.936876
331,0.512559,0.588549,0.668078,0.756796,2.753722,0.931677
332,0.545788,0.620044,0.689257,0.762213,2.728048,0.941332
333,0.529051,0.623331,0.691223,0.767271,2.703370,0.934302
334,0.502380,0.627331,0.696063,0.746782,2.655360,0.925236
335,0.509421,0.647008,0.696795,0.750074,2.561860,0.913699
336,0.541481,0.655782,0.690341,0.782164,2.486728,0.910303
337,0.570364,0.660080,0.683891,0.765620,2.427773,0.901528
338,0.587940,0.673793,0.724283,0.779609,2.383575,0.908942
339,0.545231,0.664589,0.696636,0.788387,2.390420,0.895111
340,0.585133,0.679909,0.701380,0.785360,2.373054,0.903876
341,0.563701,0.672313,0.699714,0.807788,2.320451,0.894011
342,0.528290,0.657534,0.685934,0.806745,2.327671,0.886312
343,0.537082,0.608726,0.662555,0.807522,2.313020,0.872485
344,0.544866,0.616766,0.685673,0.786346,2.261494,0.864987
345,0.533465,0.605368,0.689146,0.786358,2.235297,0.857619
346,0.520013,0.600740,0.704252,0.782157,2.212734,0.852447
347,0.517085,0.597643,0.677892,0.739803,2.159310,0.836569
348,0.463429,0.619407,0.675504,0.711107,2.096220,0.828074
349,0.443501,0.594418,0.670504,0.716290,2.064026,0.797860
350,0.452929,0.551834,0.652166,0.710415,2.031386,0.778983
351,0.434332,0.554928,0.646911,0.693427,1.976770,0.763158
352,0.448941,0.516230,0.596959,0.673288,1.934723,0.732867
353,0.427056,0.519517,0.580845,0.661874,1.867245,0.713175
354,0.395838,0.514054,0.560496,0.662266,1.801570,0.700320
355,0.399237,0.498853,0.590188,0.675888,1.758214,0.697088
356,0.359663,0.467443,0.569374,0.650197,1.731378,0.678410
357,0.357402,0.461950,0.583594,0.620306,1.695099,0.661810
358,0.363488,0.458139,0.548669,0.619540,1.637610,0.647764
359,0.327465,0.429785,0.512838,0.586518,1.478635,0.610594
360,0.350116,0.413917,0.500399,0.571934,1.382930,0.584917
361,0.251406,0.413056,0.488769,0.553481,1.308890,0.570130
362,0.245087,0.394186,0.463127,0.547900,1.247710,0.553658
363,0.219099,0.365641,0.431428,0.529164,1.200468,0.533428
364,0.214718,0.307963,0.434523,0.524578,1.138719,0.510301
365,0.215090,0.320271,0.454281,0.529214,1.082381,0.512576
366,0.231320,0.332427,0.406334,0.504363,1.021171,0.485882
